epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,11230.1,1.12483,0.56945,1.26659,0.83459,0.73484,0.78911,0.57563,0.5223,1.28727,0.59597,1.45291,0.000759035,0.000759035,0.000759035
98,11346.4,1.111,0.55215,1.26313,0.81573,0.75091,0.79342,0.57795,0.53079,1.29529,0.60517,1.45683,0.000755369,0.000755369,0.000755369
99,11461.9,1.11614,0.55719,1.26033,0.84137,0.71678,0.77204,0.59036,0.52671,1.283,0.59917,1.45374,0.000751703,0.000751703,0.000751703
100,11577.3,1.1247,0.57161,1.26169,0.82252,0.69871,0.7631,0.56189,0.51908,1.28974,0.59835,1.45152,0.000748036,0.000748036,0.000748036
101,11693.6,1.10119,0.55115,1.25505,0.76933,0.71133,0.75495,0.57515,0.51328,1.2843,0.59271,1.4545,0.00074437,0.00074437,0.00074437
102,11804.1,1.09166,0.5415,1.2434,0.81897,0.69304,0.76284,0.58514,0.5125,1.28949,0.59359,1.46433,0.000740704,0.000740704,0.000740704
103,11921.9,1.10664,0.55014,1.25098,0.80767,0.71605,0.76394,0.59601,0.52305,1.28694,0.59249,1.4578,0.000737037,0.000737037,0.000737037
104,12036.5,1.09241,0.54396,1.25167,0.82452,0.69497,0.75651,0.582,0.51791,1.27994,0.60441,1.45451,0.000733371,0.000733371,0.000733371
105,12147.4,1.10306,0.5477,1.25151,0.81484,0.69489,0.77829,0.59982,0.52711,1.27815,0.59658,1.45246,0.000729705,0.000729705,0.000729705
106,12262,1.0845,0.53033,1.23258,0.89958,0.72633,0.79849,0.55311,0.5253,1.29082,0.58386,1.46109,0.000726038,0.000726038,0.000726038
107,12374.1,1.08232,0.53768,1.24165,0.81353,0.69686,0.76479,0.55214,0.50876,1.29644,0.5955,1.47787,0.000722372,0.000722372,0.000722372
108,12488,1.07838,0.52789,1.25237,0.86652,0.7264,0.78194,0.57733,0.53123,1.29091,0.58719,1.47152,0.000718706,0.000718706,0.000718706
