epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,13816.5,1.29951,0.87735,1.05644,0.58028,0.46369,0.48672,0.3109,0.30195,1.28121,0.90724,1.05506,0.007591,0.007591,0.007591
75,14004,1.29663,0.87224,1.05242,0.57354,0.46745,0.48609,0.31212,0.30147,1.27987,0.90509,1.05337,0.007558,0.007558,0.007558
76,14191.4,1.30109,0.87282,1.05753,0.57634,0.46733,0.48899,0.3129,0.30303,1.27709,0.90101,1.05331,0.007525,0.007525,0.007525
77,14377.3,1.29205,0.86565,1.05471,0.57527,0.46895,0.48865,0.31464,0.30339,1.27758,0.90385,1.05378,0.007492,0.007492,0.007492
78,14564.3,1.28879,0.86052,1.05203,0.58196,0.46609,0.48735,0.31231,0.30305,1.28042,0.90472,1.05411,0.007459,0.007459,0.007459
79,14750.1,1.28665,0.86067,1.05318,0.57419,0.47303,0.48979,0.31012,0.30165,1.28227,0.90232,1.05419,0.007426,0.007426,0.007426
80,14938.3,1.29375,0.86592,1.05113,0.58484,0.46885,0.49192,0.31219,0.30344,1.27923,0.90001,1.05332,0.007393,0.007393,0.007393
81,15124.9,1.28685,0.85563,1.04918,0.57033,0.47348,0.49009,0.31084,0.30281,1.27918,0.8991,1.05244,0.00736,0.00736,0.00736
82,15311,1.2885,0.85531,1.04893,0.57303,0.4656,0.48907,0.31141,0.30228,1.28168,0.90144,1.05405,0.007327,0.007327,0.007327
83,15498.3,1.28473,0.85244,1.0504,0.58085,0.462,0.48745,0.31072,0.30173,1.28187,0.90202,1.05281,0.007294,0.007294,0.007294
84,15684.8,1.28579,0.84997,1.04703,0.5899,0.46105,0.48999,0.31183,0.30296,1.27998,0.89833,1.05176,0.007261,0.007261,0.007261
85,15869.6,1.27649,0.84305,1.04405,0.57895,0.47154,0.49034,0.30886,0.30172,1.27671,0.89522,1.05093,0.007228,0.007228,0.007228
86,16055.9,1.27717,0.84196,1.04527,0.5887,0.46929,0.49196,0.31082,0.30257,1.27989,0.89649,1.05315,0.007195,0.007195,0.007195
87,16241.8,1.26913,0.83745,1.04609,0.57999,0.47101,0.49242,0.31084,0.30373,1.27726,0.89476,1.05178,0.007162,0.007162,0.007162
88,16429.2,1.26878,0.83367,1.0423,0.57216,0.472,0.49109,0.31032,0.30297,1.27816,0.89673,1.05199,0.007129,0.007129,0.007129
89,16614.8,1.27266,0.83365,1.04389,0.5838,0.46801,0.49169,0.31064,0.30344,1.27786,0.89783,1.05106,0.007096,0.007096,0.007096
90,16800.4,1.27008,0.8304,1.04324,0.582,0.47086,0.49137,0.30968,0.30372,1.27729,0.89669,1.05129,0.007063,0.007063,0.007063
91,16987,1.27713,0.83178,1.04456,0.58862,0.46365,0.49132,0.31102,0.30361,1.27793,0.89624,1.05152,0.00703,0.00703,0.00703
92,17173.6,1.26956,0.82779,1.04157,0.58879,0.46617,0.49147,0.3117,0.30307,1.27892,0.89628,1.05261,0.006997,0.006997,0.006997
93,17360.3,1.26453,0.82469,1.03864,0.59218,0.46732,0.49261,0.3125,0.30443,1.27466,0.89594,1.0496,0.006964,0.006964,0.006964
94,17546.3,1.26796,0.82536,1.04253,0.59166,0.46477,0.49064,0.31193,0.30358,1.27525,0.89418,1.05049,0.006931,0.006931,0.006931
95,17733.3,1.26061,0.81903,1.04025,0.58057,0.46769,0.49109,0.31269,0.30362,1.27589,0.89459,1.05076,0.006898,0.006898,0.006898
96,17919,1.26255,0.81843,1.04058,0.58438,0.46717,0.49164,0.31396,0.30438,1.27646,0.8934,1.05127,0.006865,0.006865,0.006865
97,18101.1,1.25872,0.8145,1.03429,0.58382,0.46853,0.4913,0.31341,0.30373,1.27896,0.89259,1.05135,0.006832,0.006832,0.006832
98,18275.5,1.25217,0.81096,1.03316,0.5911,0.46851,0.4926,0.3159,0.30522,1.27618,0.88958,1.05027,0.006799,0.006799,0.006799
99,18460.7,1.2563,0.80891,1.03603,0.5807,0.4758,0.4924,0.31434,0.30478,1.27768,0.89027,1.05072,0.006766,0.006766,0.006766
100,18646.5,1.26176,0.81128,1.03478,0.58918,0.47223,0.49331,0.31249,0.30441,1.27995,0.89041,1.05177,0.006733,0.006733,0.006733
101,18831.1,1.25348,0.80518,1.03345,0.58138,0.47403,0.49365,0.31287,0.30497,1.27876,0.89084,1.05085,0.0067,0.0067,0.0067
102,19016.7,1.25645,0.81041,1.03558,0.58714,0.47043,0.49176,0.31299,0.30376,1.27713,0.8914,1.0503,0.006667,0.006667,0.006667
103,19202.2,1.25072,0.80253,1.03289,0.593,0.46624,0.49169,0.31336,0.30385,1.27844,0.89156,1.05049,0.006634,0.006634,0.006634
104,19388.7,1.25137,0.80368,1.03446,0.58963,0.46817,0.49184,0.31085,0.30382,1.27737,0.89185,1.04971,0.006601,0.006601,0.006601
105,19576.1,1.24929,0.79586,1.03159,0.58714,0.47094,0.49254,0.31256,0.30433,1.27578,0.89114,1.04932,0.006568,0.006568,0.006568
106,19761,1.25231,0.79717,1.02979,0.5867,0.47099,0.49268,0.31139,0.3041,1.2767,0.89148,1.04977,0.006535,0.006535,0.006535
107,19944.8,1.24519,0.79234,1.02899,0.58292,0.47087,0.49193,0.31037,0.30395,1.27854,0.89269,1.05034,0.006502,0.006502,0.006502
108,20129.7,1.23939,0.78682,1.02976,0.57377,0.47725,0.49144,0.31186,0.30403,1.27863,0.89314,1.04987,0.006469,0.006469,0.006469
109,20315.2,1.24108,0.79062,1.03162,0.57898,0.4746,0.49158,0.31011,0.30364,1.27979,0.89352,1.04993,0.006436,0.006436,0.006436
110,20501.5,1.2369,0.7831,1.02702,0.58534,0.47169,0.49155,0.31083,0.3038,1.27941,0.89237,1.04991,0.006403,0.006403,0.006403
111,20687.1,1.24579,0.78636,1.02995,0.59173,0.47071,0.49191,0.31104,0.30422,1.27995,0.8912,1.05024,0.00637,0.00637,0.00637
112,20871.9,1.24197,0.78342,1.02464,0.58486,0.47487,0.49161,0.31138,0.30381,1.27892,0.8921,1.0501,0.006337,0.006337,0.006337
113,21057.8,1.2334,0.77857,1.02428,0.58417,0.47258,0.49203,0.3132,0.30467,1.27896,0.89163,1.05065,0.006304,0.006304,0.006304
114,21244,1.23628,0.77617,1.02426,0.59076,0.4693,0.49282,0.31325,0.30519,1.27999,0.89122,1.05116,0.006271,0.006271,0.006271
115,21429.5,1.23392,0.7764,1.0234,0.59265,0.46973,0.49273,0.31268,0.30472,1.28001,0.89186,1.05145,0.006238,0.006238,0.006238
116,21615.3,1.23236,0.77461,1.02338,0.59788,0.46667,0.49206,0.31161,0.30424,1.27988,0.89279,1.05136,0.006205,0.006205,0.006205
117,21801.6,1.23246,0.77285,1.02533,0.58958,0.4696,0.49126,0.31195,0.3042,1.27905,0.89317,1.05104,0.006172,0.006172,0.006172
118,21987.7,1.23004,0.77309,1.02266,0.58239,0.47148,0.49174,0.31155,0.30399,1.27873,0.89292,1.05153,0.006139,0.006139,0.006139
119,22173.7,1.22409,0.76664,1.02149,0.58417,0.47392,0.49285,0.31402,0.30516,1.27747,0.89169,1.05106,0.006106,0.006106,0.006106
120,22359.4,1.2272,0.76907,1.02382,0.59337,0.47011,0.4934,0.31345,0.30564,1.27695,0.89115,1.0511,0.006073,0.006073,0.006073
121,22545,1.23204,0.76927,1.02392,0.59278,0.47223,0.49425,0.31475,0.30606,1.27747,0.89037,1.05148,0.00604,0.00604,0.00604
122,22730.6,1.22518,0.76292,1.0217,0.59544,0.46996,0.49416,0.31363,0.30603,1.27857,0.89114,1.05212,0.006007,0.006007,0.006007
123,22916.5,1.21845,0.75528,1.01802,0.58791,0.47312,0.49506,0.31458,0.30612,1.27857,0.8905,1.05206,0.005974,0.005974,0.005974
124,23103.3,1.21699,0.75161,1.01685,0.5925,0.46915,0.49564,0.31432,0.3065,1.2789,0.8897,1.05204,0.005941,0.005941,0.005941
125,23288.8,1.2159,0.75421,1.01653,0.5907,0.47091,0.49523,0.31397,0.30591,1.27856,0.89033,1.05173,0.005908,0.005908,0.005908
126,23474.1,1.22002,0.75483,1.01851,0.59577,0.46936,0.49531,0.31305,0.30562,1.27901,0.89075,1.0524,0.005875,0.005875,0.005875
127,23658.8,1.21823,0.7541,1.01569,0.59919,0.46638,0.49481,0.31358,0.30559,1.27844,0.8908,1.05205,0.005842,0.005842,0.005842
128,23833.5,1.21305,0.74566,1.01745,0.59768,0.46795,0.49378,0.31386,0.30532,1.27852,0.89101,1.05221,0.005809,0.005809,0.005809
129,24006.4,1.21258,0.7488,1.01758,0.59438,0.46992,0.49367,0.31363,0.30508,1.27823,0.89114,1.0522,0.005776,0.005776,0.005776
130,24192,1.21834,0.74785,1.01759,0.59201,0.46991,0.4934,0.31329,0.30489,1.27777,0.89181,1.05192,0.005743,0.005743,0.005743
131,24377.8,1.20861,0.74371,1.01417,0.58501,0.47219,0.49353,0.31311,0.30495,1.27842,0.89198,1.05178,0.00571,0.00571,0.00571
132,24563.7,1.21061,0.7447,1.01203,0.58776,0.47024,0.49413,0.31282,0.30481,1.27892,0.89163,1.05201,0.005677,0.005677,0.005677
133,24749.2,1.20573,0.74313,1.01219,0.58875,0.46979,0.49427,0.31269,0.3053,1.27892,0.89171,1.05179,0.005644,0.005644,0.005644
134,24935,1.21306,0.7439,1.01185,0.58866,0.46978,0.49421,0.31208,0.30553,1.2794,0.89146,1.05181,0.005611,0.005611,0.005611
135,25121.5,1.20993,0.73979,1.01301,0.58326,0.47432,0.49412,0.31173,0.30539,1.27914,0.89134,1.05162,0.005578,0.005578,0.005578
136,25307.5,1.2006,0.73413,1.01255,0.5818,0.47374,0.49376,0.31199,0.30545,1.27846,0.89171,1.05134,0.005545,0.005545,0.005545
137,25494.1,1.20479,0.73349,1.00995,0.5812,0.47343,0.49315,0.31154,0.30502,1.27902,0.89265,1.05154,0.005512,0.005512,0.005512
138,25678.3,1.19987,0.73178,1.00998,0.58186,0.47249,0.49338,0.31124,0.30495,1.2792,0.89274,1.05171,0.005479,0.005479,0.005479
139,25863.7,1.20304,0.73118,1.00687,0.58589,0.47071,0.49361,0.31083,0.30491,1.2793,0.89343,1.05153,0.005446,0.005446,0.005446
140,26049.5,1.20016,0.73243,1.01043,0.58424,0.47142,0.49379,0.31047,0.30486,1.27952,0.89337,1.05176,0.005413,0.005413,0.005413
141,26235.3,1.20416,0.73325,1.01149,0.58159,0.47485,0.49364,0.31139,0.30478,1.27955,0.89382,1.05197,0.00538,0.00538,0.00538
142,26421.3,1.20273,0.73077,1.00829,0.58455,0.47227,0.49334,0.3107,0.30446,1.27942,0.89385,1.05201,0.005347,0.005347,0.005347
143,26607.4,1.19474,0.72102,1.0091,0.58464,0.4714,0.49299,0.31093,0.30449,1.27924,0.89409,1.05198,0.005314,0.005314,0.005314
144,26793,1.19038,0.72077,1.00845,0.58112,0.4737,0.49302,0.31102,0.30447,1.27908,0.8943,1.05194,0.005281,0.005281,0.005281
145,26977.7,1.18771,0.71714,1.00472,0.58128,0.4737,0.49258,0.31107,0.30448,1.27918,0.89485,1.05197,0.005248,0.005248,0.005248
146,27164.6,1.19181,0.71862,1.00733,0.58448,0.47255,0.49275,0.31172,0.30449,1.27901,0.8951,1.05189,0.005215,0.005215,0.005215
147,27350.3,1.18644,0.71556,1.00674,0.58876,0.46859,0.49263,0.31243,0.30459,1.27891,0.89551,1.05196,0.005182,0.005182,0.005182
148,27536.2,1.19253,0.71682,1.0035,0.59005,0.46834,0.49241,0.31149,0.30411,1.27951,0.89559,1.05222,0.005149,0.005149,0.005149
149,27721,1.18702,0.71372,1.00251,0.58783,0.46911,0.49201,0.31097,0.30362,1.27987,0.89588,1.0523,0.005116,0.005116,0.005116
150,27906.8,1.17953,0.70829,1.00182,0.59001,0.46881,0.49226,0.31132,0.30375,1.27979,0.89622,1.05212,0.005083,0.005083,0.005083
151,28089.8,1.18582,0.71029,1.00739,0.591,0.46831,0.4927,0.31116,0.30396,1.28028,0.89636,1.05246,0.00505,0.00505,0.00505
152,28275.7,1.18162,0.70667,1.00444,0.59403,0.4657,0.49258,0.31133,0.30401,1.28051,0.89691,1.05243,0.005017,0.005017,0.005017
153,28462.2,1.18208,0.70473,1.00262,0.59527,0.465,0.4924,0.31104,0.30386,1.28037,0.89711,1.05238,0.004984,0.004984,0.004984
154,28647.6,1.17709,0.7037,1.00135,0.59699,0.46538,0.49243,0.31137,0.30397,1.2805,0.89705,1.05254,0.004951,0.004951,0.004951
