epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,11210.4,1.29139,0.93372,0.94114,0.5135,0.38924,0.40357,0.25017,0.24479,1.19257,0.86006,0.90628,0.0039308,0.0039308,0.0039308
56,11413.7,1.29409,0.92592,0.93771,0.50033,0.3933,0.40534,0.25192,0.24626,1.19094,0.85646,0.90435,0.003911,0.003911,0.003911
57,11616.3,1.27954,0.92254,0.93596,0.50314,0.38495,0.40283,0.25126,0.24469,1.18308,0.8554,0.90278,0.0038912,0.0038912,0.0038912
58,11819,1.28053,0.9156,0.93656,0.49966,0.39733,0.40842,0.25273,0.24784,1.18395,0.8484,0.90282,0.0038714,0.0038714,0.0038714
59,12022.3,1.29169,0.93351,0.94078,0.51322,0.38995,0.40713,0.25307,0.24808,1.18745,0.85408,0.90479,0.0038516,0.0038516,0.0038516
60,12225.3,1.29261,0.93241,0.93844,0.50475,0.39365,0.40739,0.25488,0.24783,1.18412,0.85381,0.90191,0.0038318,0.0038318,0.0038318
61,12428.6,1.27973,0.91773,0.937,0.49337,0.3992,0.4096,0.25645,0.25083,1.17888,0.85069,0.90223,0.003812,0.003812,0.003812
62,12631.7,1.28523,0.92635,0.93672,0.50594,0.39876,0.40793,0.25377,0.24854,1.17985,0.84923,0.90094,0.0037922,0.0037922,0.0037922
63,12834.4,1.28038,0.92047,0.93767,0.50212,0.40344,0.41163,0.25318,0.24939,1.18208,0.84743,0.90235,0.0037724,0.0037724,0.0037724
64,13037.3,1.27815,0.91484,0.93595,0.50293,0.40245,0.41314,0.25875,0.25157,1.17512,0.84086,0.90085,0.0037526,0.0037526,0.0037526
65,13239.9,1.28014,0.91346,0.93492,0.5142,0.40017,0.41277,0.25724,0.251,1.17577,0.83735,0.90038,0.0037328,0.0037328,0.0037328
66,13442.7,1.27949,0.91399,0.93712,0.5157,0.40353,0.4153,0.26103,0.25398,1.17389,0.83639,0.90023,0.003713,0.003713,0.003713
67,13646,1.28338,0.9162,0.9378,0.51932,0.40112,0.41746,0.26194,0.25508,1.16922,0.83568,0.90103,0.0036932,0.0036932,0.0036932
68,13848.8,1.27581,0.90811,0.93424,0.51089,0.40133,0.41316,0.25997,0.25308,1.16931,0.84149,0.90051,0.0036734,0.0036734,0.0036734
69,14051.1,1.26889,0.90758,0.9363,0.52474,0.40343,0.41764,0.26177,0.25498,1.16846,0.83365,0.89924,0.0036536,0.0036536,0.0036536
70,14253.5,1.27418,0.90812,0.93597,0.51183,0.40373,0.41693,0.26201,0.255,1.17272,0.83594,0.90047,0.0036338,0.0036338,0.0036338
71,14456.1,1.26981,0.90042,0.93287,0.52403,0.39936,0.41729,0.26295,0.25594,1.16349,0.83093,0.89905,0.003614,0.003614,0.003614
72,14660.5,1.28415,0.91775,0.93602,0.50859,0.40559,0.41647,0.26245,0.25437,1.1678,0.83126,0.89866,0.0035942,0.0035942,0.0035942
73,14863.5,1.26925,0.89689,0.93273,0.52404,0.40265,0.41943,0.26269,0.25684,1.16043,0.8259,0.8967,0.0035744,0.0035744,0.0035744
74,15066.9,1.28639,0.9137,0.93373,0.52503,0.40541,0.41943,0.26294,0.25677,1.16604,0.83117,0.89944,0.0035546,0.0035546,0.0035546
75,15268.8,1.2624,0.89478,0.93342,0.52007,0.40656,0.42066,0.26428,0.25759,1.16391,0.82726,0.89836,0.0035348,0.0035348,0.0035348
76,15472.3,1.27241,0.90188,0.93734,0.51685,0.40576,0.41695,0.26098,0.25497,1.16049,0.82762,0.89799,0.003515,0.003515,0.003515
77,15675.8,1.27004,0.90651,0.93136,0.50583,0.41039,0.42035,0.26563,0.25661,1.16195,0.82685,0.89731,0.0034952,0.0034952,0.0034952
78,15878.1,1.26861,0.9031,0.93166,0.51428,0.41375,0.42468,0.26559,0.25864,1.1581,0.8231,0.89776,0.0034754,0.0034754,0.0034754
79,16080.9,1.25866,0.89043,0.93159,0.52121,0.41082,0.42445,0.26715,0.25899,1.15799,0.82189,0.89793,0.0034556,0.0034556,0.0034556
80,16283.7,1.26334,0.89489,0.93142,0.51735,0.40822,0.42288,0.26561,0.25817,1.15625,0.81951,0.89682,0.0034358,0.0034358,0.0034358
81,16486.8,1.26626,0.90138,0.93326,0.5222,0.41042,0.42459,0.26628,0.25915,1.1553,0.82111,0.89606,0.003416,0.003416,0.003416
82,16689.5,1.26475,0.89367,0.93106,0.52021,0.41457,0.4253,0.26844,0.26019,1.15513,0.82022,0.89539,0.0033962,0.0033962,0.0033962
83,16892.8,1.26105,0.89544,0.93057,0.52125,0.41569,0.4274,0.26829,0.25985,1.15708,0.81556,0.89576,0.0033764,0.0033764,0.0033764
84,17094.8,1.25952,0.89223,0.93198,0.52542,0.40954,0.42642,0.26745,0.26124,1.15095,0.81438,0.89443,0.0033566,0.0033566,0.0033566
85,17298.1,1.26105,0.88885,0.93088,0.52482,0.41248,0.42612,0.26693,0.26051,1.15377,0.81646,0.89538,0.0033368,0.0033368,0.0033368
86,17500.7,1.25958,0.88917,0.93072,0.53486,0.41062,0.42697,0.26861,0.26151,1.15087,0.81215,0.89524,0.003317,0.003317,0.003317
87,17703.6,1.25704,0.88792,0.92878,0.53891,0.4078,0.4287,0.27111,0.26256,1.14993,0.81185,0.89434,0.0032972,0.0032972,0.0032972
88,17906.5,1.251,0.8814,0.92832,0.53386,0.41239,0.42875,0.27282,0.26396,1.14963,0.81194,0.89499,0.0032774,0.0032774,0.0032774
89,18110.1,1.25607,0.88469,0.92973,0.525,0.41636,0.43175,0.27344,0.26507,1.15044,0.80887,0.89509,0.0032576,0.0032576,0.0032576
90,18313.6,1.25986,0.89391,0.93176,0.53543,0.41369,0.43153,0.27269,0.26514,1.14749,0.80894,0.89492,0.0032378,0.0032378,0.0032378
91,18517.1,1.2543,0.88601,0.93025,0.53398,0.41582,0.43062,0.27292,0.26555,1.1471,0.81122,0.89452,0.003218,0.003218,0.003218
92,18720.2,1.25163,0.8747,0.92747,0.53039,0.41688,0.43314,0.27455,0.26652,1.14776,0.80668,0.89447,0.0031982,0.0031982,0.0031982
93,18922.7,1.25297,0.88129,0.93024,0.53652,0.41731,0.4336,0.27505,0.26754,1.14544,0.80657,0.89451,0.0031784,0.0031784,0.0031784
94,19126.3,1.2533,0.876,0.92844,0.53432,0.4135,0.43207,0.27417,0.26665,1.14425,0.80788,0.89373,0.0031586,0.0031586,0.0031586
95,19329.5,1.24744,0.87477,0.92964,0.52275,0.42127,0.43426,0.27649,0.2674,1.14336,0.80522,0.89351,0.0031388,0.0031388,0.0031388
96,19533.2,1.24867,0.87803,0.92814,0.53392,0.4184,0.4363,0.27645,0.26806,1.14039,0.80318,0.89305,0.003119,0.003119,0.003119
97,19736.5,1.2432,0.87134,0.92792,0.53577,0.41771,0.43756,0.27734,0.26944,1.13968,0.8025,0.89288,0.0030992,0.0030992,0.0030992
98,19940.1,1.2524,0.87443,0.92552,0.53883,0.41559,0.43639,0.27685,0.26849,1.14159,0.80301,0.89374,0.0030794,0.0030794,0.0030794
99,20142.3,1.24627,0.87338,0.92669,0.53412,0.41754,0.43555,0.27586,0.26817,1.14171,0.80101,0.89414,0.0030596,0.0030596,0.0030596
100,20344.6,1.23789,0.86043,0.92426,0.52504,0.42146,0.43642,0.2758,0.26862,1.14253,0.80219,0.89384,0.0030398,0.0030398,0.0030398
101,20547.6,1.24881,0.87276,0.9283,0.52002,0.42647,0.43594,0.27557,0.26858,1.14056,0.80163,0.89257,0.00302,0.00302,0.00302
102,20750.6,1.25174,0.87576,0.92747,0.54067,0.42193,0.43749,0.2783,0.2702,1.13986,0.80022,0.89273,0.0030002,0.0030002,0.0030002
103,20953.3,1.2279,0.85627,0.92454,0.5393,0.42203,0.43838,0.27983,0.27091,1.13774,0.79832,0.89225,0.0029804,0.0029804,0.0029804
104,21155.9,1.24661,0.87563,0.92889,0.53489,0.42723,0.43892,0.27869,0.27164,1.13788,0.79636,0.89228,0.0029606,0.0029606,0.0029606
105,21359,1.24145,0.86553,0.92554,0.53971,0.42557,0.43928,0.2786,0.27124,1.13788,0.79687,0.89184,0.0029408,0.0029408,0.0029408
106,21561.6,1.24534,0.86845,0.92841,0.5365,0.42415,0.43957,0.27942,0.27163,1.13847,0.79715,0.89166,0.002921,0.002921,0.002921
107,21764.3,1.24211,0.86341,0.92716,0.53675,0.42997,0.44003,0.27883,0.27124,1.13867,0.79588,0.89176,0.0029012,0.0029012,0.0029012
108,21967.3,1.24071,0.8593,0.92437,0.53688,0.42673,0.44156,0.28051,0.2723,1.13861,0.79445,0.89188,0.0028814,0.0028814,0.0028814
109,22170.3,1.23968,0.8612,0.92755,0.53815,0.42416,0.44205,0.27965,0.27238,1.13845,0.79479,0.89149,0.0028616,0.0028616,0.0028616
